x;y;z;total-temperature
0.016855476;-0.001612557;-0.001612557;323.28326
0.016875625;-0.0016302322;-0.0016302322;323.28326
0.016786328;-0.0016169731;-0.0016169731;323.2655
0.016810808;-0.0016356566;-0.0016356566;323.2655
0.016628686;-0.0016136267;-0.0016136267;323.26953
0.016695248;-0.0016355747;-0.0016355747;323.26953
0.016522301;-0.001615786;-0.001615786;323.2832
0.016542194;-0.0016332362;-0.0016332362;323.2832
0.016477348;-0.0016393955;-0.0016393955;323.26733
0.016452327;-0.0016227216;-0.0016227216;323.26733
0.016356654;-0.0016393209;-0.0016393209;323.27209
0.016286036;-0.0016172532;-0.0016172532;323.27209
0.016181046;-0.001618015;-0.001618015;323.28333
0.016198216;-0.0016330743;-0.0016330743;323.28333
0.016138844;-0.0016398826;-0.0016398826;323.26672
0.016113838;-0.0016254898;-0.0016254898;323.26672
0.016020598;-0.0016386855;-0.0016386855;323.27045
0.015952392;-0.0016151462;-0.0016151462;323.27045
0.015850252;-0.0016128076;-0.0016128076;323.28333
0.015867205;-0.0016276753;-0.0016276753;323.28333
0.015808916;-0.0016357267;-0.0016357267;323.26584
0.015784554;-0.0016211908;-0.0016211908;323.26584
0.01567266;-0.001644909;-0.001644909;323.27029
0.015585144;-0.0016270828;-0.0016270828;323.27029
0.015455139;-0.0016318499;-0.0016318499;323.28333
0.015476375;-0.0016504725;-0.0016504725;323.28333
0.016420918;-0.0045363195;-0.0045363195;323.20593
0.01635213;-0.0045063286;-0.0045063286;323.17542
0.016346289;-0.0044305604;-0.0044305604;323.08752
0.016284944;-0.0045356899;-0.0045356899;323.20471
0.016256599;-0.0043972968;-0.0043972968;323.15091
0.016166911;-0.0044306996;-0.0044306996;323.15091
0.016312983;-0.004619021;-0.004619021;323.2572
0.016262194;-0.0045826384;-0.0045826384;323.2572
0.016146621;-0.0045227068;-0.0045227068;323.20309
0.016189419;-0.0044933246;-0.0044933246;323.20309
0.016010562;-0.004430769;-0.004430769;323.09079
0.016086122;-0.0045346604;-0.0045346604;323.20538
0.016171286;-0.0045696069;-0.0045696069;323.27032
0.016191332;-0.0045871735;-0.0045871735;323.27032
0.01601701;-0.0045053479;-0.0045053479;323.17584
0.01594647;-0.0043822224;-0.0043822224;323.10654
0.016070338;-0.0045986003;-0.0045986003;323.2561
0.016110778;-0.0046042544;-0.0046042544;323.2561
0.015951939;-0.0045382991;-0.0045382991;323.20526
0.01590362;-0.0044485065;-0.0044485065;323.16379
0.015742445;-0.0043823868;-0.0043823868;323.10733
0.01579175;-0.004448622;-0.004448622;323.16409
0.015980586;-0.0046195672;-0.0046195672;323.25784
0.015931299;-0.0045885788;-0.0045885788;323.25784
0.015859328;-0.0043999851;-0.0043999851;323.20621
0.015838591;-0.0044815033;-0.0044815033;323.20621
0.015674828;-0.0044309776;-0.0044309776;323.08847
0.015680837;-0.0045053265;-0.0045053265;323.17328
0.01575236;-0.0045382283;-0.0045382283;323.20456
0.015842486;-0.004580325;-0.004580325;323.2702
0.015862236;-0.0045976336;-0.0045976336;323.2702
