x;y;total_temperature
0.016188668;-0.0045792083;7718.3174
0.015851334;-0.0045793988;7729.3843
0.01551399;-0.0045795902;7730.0737
0.015176669;-0.004579775;7733.3823
0.014164629;-0.0045802752;7822.6899
0.014839413;-0.0045799473;7741.9795
0.014164635;-0.0042843614;7842.7349
0.014502216;-0.0045801122;7777.9497
0.014164641;-0.0039884299;7861.2017
0.014502235;-0.0042841993;7773.5645
0.014502253;-0.0039882697;7810.2305
0.023268856;-0.0039836732;7711.9277
0.014502272;-0.0036923231;7844.0625
0.01483947;-0.0039881058;7749.5718
0.022931818;-0.0039838515;7714.4268
0.023269005;-0.003687914;7754.124
0.023605898;-0.0039834948;7706.4004
0.014164689;-0.0019163715;7875.894
0.014502419;-0.0016201589;7772.248
0.014839503;-0.003692162;7803.1831
0.015176708;-0.0039879377;7725.644
0.022594776;-0.0039840303;7712.7271
0.022931974;-0.0036880844;7758.0254
0.023606036;-0.0036877438;7753.7964
0.023942942;-0.003983316;7697.8296
0.014164683;-0.0022124399;7846.8037
0.014502401;-0.0019162395;7804.5757
0.01483975;-0.001620034;7698.042
0.014164668;-0.002804517;7774.3999
0.014502309;-0.0031003775;7718.0938
0.014839534;-0.0033962019;7717.1191
0.015176754;-0.0036919969;7800.4424
0.015513982;-0.0039877691;7715.3579
0.022257732;-0.0039842087;7711.1768
0.02259494;-0.0036882549;7760.9365
0.02394307;-0.0036875731;7750.6704
0.024279989;-0.0039831377;7700.8247
0.014164677;-0.0025084876;7824.2505
0.014502381;-0.0022122995;7718.6909
0.014839718;-0.0019161049;7695.9771
0.015177103;-0.0016199066;7652.8115
0.014502332;-0.0028043736;7731.2573
0.014839566;-0.003100225;7689.6133
0.015176799;-0.0033960408;7767.5078
0.015514027;-0.0036918283;7797.0942
0.015851313;-0.0039875987;7707.4751
0.021920683;-0.003984387;7705.3213
0.0222579;-0.0036884253;7763.4668
0.024280103;-0.0036874029;7748.6421
0.024617039;-0.0039829593;7704.1904
0.014502358;-0.0025083451;7729.5586
0.014839679;-0.0022121649;7493.1006
0.015177048;-0.0019159794;7612.8511
0.015514469;-0.0016197888;7638.4614
0.014839598;-0.00280423;7707.562
0.015176844;-0.0031000688;7671.061
0.015514087;-0.0033958764;7766.9824
0.015851337;-0.0036916598;7794.501
0.016188685;-0.0039874231;7695.4043
0.021583628;-0.0039845658;7710.5078
0.021920856;-0.0036885957;7770.4121
0.024617141;-0.0036872325;7747.4678
0.024954103;-0.0039827805;7708.4131
0.014839634;-0.0025082114;7617.4204
0.015176985;-0.0022120422;7348.4175
0.015514388;-0.001915866;7588.4404
0.015851848;-0.0016196736;7640.8418
0.015176889;-0.0028040803;7679.5532
0.015514146;-0.0030999093;7656.4287
0.015851395;-0.0033957087;7764.1792
0.016188698;-0.0036914926;7790.6401
0.016526043;-0.0039872443;7703.2378
0.021246567;-0.0039847442;7710.7939
0.021583805;-0.0036887662;7771.4551
0.024954187;-0.0036870618;7744.0078
0.025291169;-0.0039826022;7707.7769
0.015176933;-0.0025080745;7556.3301
0.015514317;-0.002211913;7292.3896
0.01585176;-0.0019157336;7609.8711
0.016189253;-0.0016195391;7623.9775
0.016864046;-0.0016192459;7612.3706
0.015514202;-0.0028039268;7659.0479
0.015851466;-0.0030997468;7645.6655
0.016188731;-0.0033955413;7756.2529
0.016526075;-0.0036913236;7789.7363
0.016863376;-0.003987066;7704.5967
0.020909498;-0.003984923;7714.5264
0.021246744;-0.0036889366;7773.8335
0.025291238;-0.0036868914;7743.1089
0.025628248;-0.0039824238;7706.854
0.01551426;-0.0025079283;7541.3062
0.015851684;-0.0022117645;7271.6929
0.016189162;-0.0019155794;7567.8989
0.01652666;-0.0016193932;7617.1333
0.016863933;-0.0019152658;7579.1123
0.015851537;-0.0028037704;7659.3462
0.0161888;-0.0030995787;7643.104
0.016526105;-0.0033953781;7755.0869
0.016863426;-0.0036911531;7790.2764
0.017200679;-0.0039868872;7703.7813
0.020572416;-0.0039851014;7718.875
0.020909673;-0.003689107;7775.7427
0.025628297;-0.003686721;7735.7124
0.025965337;-0.003982245;7706.3091
0.015851609;-0.0025077765;7531.438
0.016189072;-0.0022116038;7265.8784
0.016526556;-0.0019154235;7561.3604
0.01618889;-0.0028036041;7664.2866
0.016526155;-0.0030994122;7644.7261
0.016863476;-0.003395217;7755.4487
0.017200746;-0.0036909822;7789.1357
0.01753795;-0.0039867088;7705.7954
0.020235322;-0.0039852802;7718.1357
0.02057259;-0.0036892775;7779.022
0.025965368;-0.0036865503;7734.4731
0.026302448;-0.0039820648;7697.1392
0.016188979;-0.0025076123;7538.0205
0.016526455;-0.0022114387;7270.3335
0.016526245;-0.0028034304;7666.144
0.016863527;-0.0030992569;7643.9155
0.017200815;-0.0033950559;7750.5342
0.017538035;-0.0036908118;7787.6357
0.017875196;-0.00398653;7711.207
0.019898217;-0.0039854585;7719.1719
0.020235494;-0.0036894481;7781.0898
0.02630249;-0.0036863575;7730.8994
0.026639609;-0.0039818613;7697.1328
0.016526351;-0.0025074391;7542.0562
0.016863596;-0.0028032737;7670.5571
0.017200883;-0.0030991065;7640.5205
0.017538121;-0.0033948948;7741.4185
0.017875297;-0.0036906414;7788.8301
0.018212419;-0.0039863512;7714.7036
0.019561095;-0.0039856369;7721.5464
0.019898381;-0.0036896183;7784.9434
0.026639687;-0.0036861238;7725.0757
0.026976839;-0.003981621;7710.3145
0.02832645;-0.0039805542;7774.9243
0.016863702;-0.002507274;7552.4429
0.017200951;-0.0028031333;7676.5156
0.017538207;-0.0030989558;7625.1938
0.017875399;-0.0033947336;7737.5933
0.018212534;-0.0036904707;7787.498
0.018549619;-0.0039861728;7720.7905
0.019223955;-0.0039858157;7718.2715
0.019561252;-0.0036897887;7785.2139
0.026976921;-0.0036858693;7730.9897
0.027314095;-0.0039813616;7725.9487
0.027988629;-0.0039808284;7752.6528
0.028326459;-0.003684805;7822.105
0.01720104;-0.0025071343;7564.9292
0.017538292;-0.0028029946;7677.126
0.0178755;-0.0030988054;7631.0381
0.01821265;-0.0033945723;7735.6221
0.018549748;-0.0036903;7791.7573
0.018886797;-0.003985994;7714.0674
0.019224104;-0.0036899594;7787.6963
0.027314162;-0.0036856104;7739.02
0.02765136;-0.0039810976;7734.2246
0.027988659;-0.0036850786;7787.7109
0.028326469;-0.0033890666;7865.9487
0.017538378;-0.00250701;7571.3623
0.017875602;-0.0028028563;7679.5894
0.018212764;-0.003098655;7630.5781
0.018549874;-0.0033944112;7715.9048
0.018886935;-0.0036901298;7790.5605
0.027651407;-0.0036853468;7753.3564
0.027988687;-0.003389338;7772.207
0.028326478;-0.0030933386;7874.0732
0.017875703;-0.0025068845;7577.5234
0.018212881;-0.0028027177;7687.1431
0.018550003;-0.0030985046;7622.3125
0.018887075;-0.0033942503;7717.4927
0.027651455;-0.0033896042;7669.1675
0.027988717;-0.0030936063;7792.7383
0.028326489;-0.0027976215;7897.2295
0.018212995;-0.0025067593;7588.3105
0.018550131;-0.0028025792;7689.7334
0.018887214;-0.003098354;7617.7612
0.027651504;-0.0030938687;7684.0542
0.027988747;-0.0027978837;7855.1948
0.017875919;-0.001914866;7546.7876
0.018550258;-0.002506634;7584.7266
0.018887354;-0.0028024404;7689.5259
0.019224402;-0.0030982038;7622.8345
0.027651552;-0.0027981403;7800.8408
0.02798878;-0.0025021704;7800.4233
0.017876053;-0.0016188326;7578.2813
0.018213226;-0.0019147755;7517.624
0.018887492;-0.0025065085;7590.0928
0.019224551;-0.0028023021;7697.772
0.019561566;-0.0030980532;7619.3252
0.027314363;-0.0027983927;7769.3291
0.027651606;-0.0025024193;7766.2329
0.01821335;-0.001618745;7563.0571
0.018550515;-0.0019146804;7544.3994
0.0192247;-0.0025063832;7598.8022
0.019561723;-0.0028021636;7699.9131
0.019898709;-0.0030979028;7614.9517
0.026977178;-0.0027986409;7758.8398
0.027314434;-0.0025026635;7750.1758
0.02765166;-0.002206706;7433.5107
0.027988844;-0.0019107604;7527.7798
0.028326532;-0.0016148352;7710.1118
0.018550642;-0.00161867;7580.8062
0.018887771;-0.0019145852;7507.0498
0.019561879;-0.002506258;7608.4565
0.019898873;-0.0028020251;7702.9199
0.026639996;-0.0027988849;7748.9414
0.026977267;-0.0025029047;7726.3887
0.027314506;-0.0022069404;7470.8853
0.027651716;-0.0019109955;7470.6587
0.027988875;-0.0016150639;7571.0522
0.028326543;-0.0013191567;7766.0342
0.018887909;-0.0016185918;7583.2729
0.019224998;-0.0019144902;7498.2754
